dim,s,time,sampled,sieved,compared,num_short
41,100,41.313,2094,113862,452381357,79
41,1000,63.131,1977,174401,692764570,80
42,10,29.109,2293,66269,311483608,75
42,100,58.34,2336,135161,625141029,80
42,1000,89.646,2363,204438,935588278,14
43,10,40.357,2785,76939,415656580,86
43,100,81.653,2670,158855,850331572,79
43,1000,125.368,2712,243837,1298970679,85
44,10,57.992,3113,90720,569598020,82
44,100,115.2,3069,188277,1163297648,87
44,1000,176.872,3116,287028,1775271453,86
45,10,82.824,3576,107662,788660865,84
45,100,169.642,3620,224216,1621793767,11
45,1000,258.963,3635,338796,2430436856,22
46,10,110.473,4121,125778,1056461542,1
46,100,301.478,4216,265747,2225087164,87
46,1000,358.697,4156,402216,3348174829,83
47,10,162.083,4898,148640,1463168671,4
47,100,331.86,4778,312711,3029590734,62
47,1000,494.862,4830,476654,4600869099,22
48,10,220.529,5496,175222,1985542950,27
48,100,459.368,5629,368206,4131808629,90
48,1000,695.688,5647,564847,6339319371,79
49,10,322.433,6536,207801,2748349754,62
49,100,670.787,6419,435767,5689449809,92
49,1000,1002.467,6483,663407,8611682768,92
50,10,515.429,7474,244251,3745511155,90
50,100,1039.061,7483,513478,7766799816,5
50,1000,1537.834,7333,781246,11754634181,95
20,10,0.025,109,1613,308424,14
20,100,0.036,117,3168,596198,39
20,1000,0.055,114,4805,916296,40
21,10,0.027,128,1917,421864,36
21,100,0.049,126,3684,808127,2
21,1000,0.072,128,5559,1192480,42
22,10,0.04,163,2374,617650,41
22,100,0.071,145,4437,1119400,44
22,1000,0.099,135,6501,1591720,37
23,10,0.053,173,2763,815565,43
23,100,0.092,152,5078,1464931,5
23,1000,0.133,152,7628,2144427,21
24,10,0.073,189,3145,1089914,2
24,100,0.14,188,6342,2149652,8
24,1000,0.196,205,9183,3007914,10
25,10,0.101,210,3778,1520288,11
25,100,0.187,205,7549,2858372,48
25,1000,0.276,221,11125,4257391,39
26,10,0.132,226,4345,1916928,52
26,100,0.27,251,8829,3977641,4
26,1000,0.398,249,13431,5929990,51
27,10,0.185,265,5249,2688807,53
27,100,0.373,294,10492,5482417,3
27,1000,0.559,266,16144,8289168,52
28,10,0.254,315,6058,3600756,7
28,100,0.514,315,12489,7400846,9
28,1000,0.76,307,18753,11001149,56
29,10,0.354,379,7285,4954472,55
29,100,0.727,378,15057,10356042,56
29,1000,1.062,377,22181,15187626,0
30,10,0.667,405,8473,6703811,54
30,100,1.447,465,18010,14450056,54
30,1000,2.133,436,27116,21410619,45
31,10,0.681,484,10002,9131718,55
31,100,1.944,490,21160,19407723,55
31,1000,2.133,511,31535,28982873,18
32,10,1.029,561,12461,13346119,63
32,100,2.038,567,25095,26661922,61
32,1000,2.996,557,37517,39240006,39
33,10,1.477,678,14846,18837625,65
33,100,2.818,667,29383,36172562,3
33,1000,4.227,591,44647,54334142,56
34,10,1.993,761,17214,24688564,66
34,100,3.951,731,34774,49218945,52
34,1000,6.011,725,53279,75044737,68
35,10,2.714,886,20066,33334182,56
35,100,5.525,846,41765,68303598,38
35,1000,8.255,845,62704,102260850,61
36,10,3.833,993,23820,46032442,70
36,100,7.899,995,49780,95274570,72
36,1000,11.535,1024,73518,138987075,68
37,10,5.229,1125,27820,61964964,3
37,100,10.898,1151,58521,129580367,73
37,1000,16.322,1221,87832,193677929,69
38,10,7.533,1309,33356,86367713,70
38,100,15.256,1317,68826,175255425,9
38,1000,22.71,1280,103626,261668171,76
39,10,10.546,1566,39779,119680414,77
39,100,21.117,1533,80864,239724835,1
39,1000,32.067,1568,123514,365217187,73
40,10,14.704,1774,46863,163581614,73
40,100,29.748,1704,96532,332085402,9
40,1000,44.567,1745,145708,497729129,1
41,10,20.155,1964,54675,219736479,65
41,100,41.488,2066,114080,454909725,76
41,1000,63.43,2055,174285,694567363,71
42,10,28.037,2291,64770,299448468,73
42,100,59.27,2358,136087,629685451,82
42,1000,90.421,2349,204520,937734017,72
43,10,40.839,2664,76436,412935254,84
43,100,82.862,2746,160564,862254927,82
43,1000,125.419,2647,243193,1300356680,83
44,10,57.71,3119,90435,570267129,1
44,100,115.859,3093,188106,1164771415,86
44,1000,178.411,3100,286572,1771064954,5
45,10,80.887,3560,107859,791358834,9
45,100,165.614,3651,224290,1618479022,5
45,1000,253.804,3735,340999,2455796271,86
46,10,113.015,4210,125732,1058350644,84
46,100,238.273,4223,263283,2204902974,90
46,1000,365.353,4260,402744,3355246504,86
47,10,176.626,4964,149941,1479136922,74
47,100,358.479,4628,313075,3030467262,85
47,1000,535.79,4965,477356,4617701227,26
48,10,225.555,5647,176176,2014020121,1
48,100,459.675,5584,368679,4153528643,8
48,1000,703.022,5693,562880,6312671227,95
49,10,323.605,6463,207651,2734478371,87
49,100,670.686,6546,437140,5717051189,10
49,1000,1006.822,6226,664327,8633714812,81
50,10,531.044,7532,247159,3810332474,99
50,100,1043.169,7548,512485,7748471576,0
50,1000,1539.918,7504,781556,11749114583,95
20,10,0.024,114,1460,284559,1
20,100,0.033,99,2977,545896,32
20,1000,0.051,103,4645,851317,39
21,10,0.029,122,2044,448171,41
21,100,0.051,137,3785,836468,41
21,1000,0.072,127,5629,1215173,7
22,10,0.036,161,2161,555980,40
22,100,0.073,155,4585,1153070,44
22,1000,0.104,153,6697,1668223,43
23,10,0.054,180,2731,816172,45
23,100,0.094,166,5205,1484211,44
23,1000,0.14,169,7833,2249899,45
24,10,0.07,169,3065,1033813,1
24,100,0.135,193,6298,2068264,47
24,1000,0.197,175,9443,3045927,46
25,10,0.093,203,3697,1389886,49
25,100,0.183,213,7304,2788030,6
25,1000,0.276,215,11106,4237043,46
26,10,0.146,261,4598,2111252,51
26,100,0.273,244,9040,4029933,31
26,1000,0.399,251,13377,5941481,9
27,10,0.195,292,5345,2808439,53
27,100,0.374,293,10777,5499990,52
27,1000,0.549,264,16076,8134995,54
28,10,0.269,329,6332,3797069,55
28,100,0.532,338,12729,7621730,54
28,1000,0.765,331,18759,11052199,54
29,10,0.358,378,7252,4999575,18
29,100,0.724,378,15021,10293118,57
29,1000,1.041,360,22006,14879004,56
30,10,0.509,417,8666,6902703,56
30,100,1.047,422,18004,14384375,51
30,1000,1.554,430,26963,21394220,59
31,10,0.747,514,10470,10015778,1
31,100,1.372,461,20573,18589867,45
31,1000,2.873,479,31320,28490599,4
32,10,1.011,605,12178,13121022,64
32,100,2.004,571,24928,26206411,61
32,1000,3.023,569,37611,39581871,7
33,10,1.433,625,14630,18180730,65
33,100,2.813,645,29333,35875839,61
33,1000,4.273,642,44728,54733738,1
34,10,1.94,745,16865,23863823,65
34,100,4.075,783,35318,50304394,61
34,1000,6.014,753,52875,74775105,45
35,10,2.716,864,19931,33194705,62
35,100,5.274,823,40399,64984332,13
35,1000,8.2,845,62113,101116866,68
36,10,3.792,991,23736,45473837,71
36,100,7.567,950,48502,91329015,69
36,1000,11.523,993,73841,138829739,66
37,10,5.485,1158,28757,64576286,53
37,100,11.012,1173,58789,130719723,12
37,1000,16.241,1092,87493,192471516,4
38,10,7.537,1337,33206,85522038,65
38,100,15.494,1354,69385,179029326,73
38,1000,23.173,1279,104814,267684268,2
39,10,10.551,1519,39822,119640695,17
39,100,21.129,1524,81127,239796263,78
39,1000,32.07,1518,123846,366177693,72
40,10,14.573,1737,46418,162359051,0
40,100,28.718,1696,94496,320650734,70
40,1000,45.544,1751,147781,508422287,77
41,10,20.14,2043,54654,220385951,78
41,100,41.636,2124,114213,456403373,79
41,1000,62.312,1955,172991,684574525,79
42,10,28.322,2283,64971,303366892,79
42,100,60.132,2340,135964,629148638,79
42,1000,90.8,2341,205600,946550359,8
43,10,41.415,2681,76667,416176562,82
43,100,82.495,2760,160861,864419658,78
43,1000,127.544,2643,244154,1305730088,83
44,10,58.318,3111,91362,575346436,83
44,100,117.346,3264,188734,1176563140,85
44,1000,180.163,3027,287456,1774380890,77
45,10,80.168,3630,107992,787778132,90
45,100,166.443,3711,225413,1628565438,85
45,1000,253.174,3560,339620,2435659981,86
46,10,112.746,4187,126248,1069461523,87
46,100,237.433,4122,263920,2207202553,12
46,1000,361.048,4185,400845,3340072694,89
47,10,172.018,4797,148995,1462274677,15
47,100,356.424,4621,312121,3019895937,81
47,1000,532.023,4896,474021,4575537534,91
48,10,222.57,5613,176122,2008708186,4
48,100,460.71,5584,371557,4190671308,92
48,1000,689.475,5601,560887,6274959643,96
49,10,318.611,6582,207359,2730391402,94
49,100,661.275,6536,434703,5670139032,97
49,1000,1058.915,6465,666823,8684647001,92
50,10,507.098,7428,244145,3758448673,4
50,100,1030.464,7361,515715,7823058781,86
50,1000,1940.003,7487,784898,11874453252,97
20,10,0.024,113,1587,305401,35
20,100,0.036,111,3100,582313,39
20,1000,0.051,120,4533,838303,31
21,10,0.026,129,1870,414255,38
21,100,0.049,125,3642,797759,0
21,1000,0.072,126,5595,1204177,1
22,10,0.036,129,2220,554338,39
22,100,0.072,148,4505,1136935,43
22,1000,0.101,138,6677,1638246,43
23,10,0.049,169,2509,744727,5
23,100,0.094,164,5246,1490732,46
23,1000,0.14,167,7897,2246939,32
24,10,0.068,185,2981,1001998,1
24,100,0.14,191,6366,2140328,48
24,1000,0.205,192,9460,3164914,3
25,10,0.099,215,3754,1480725,42
25,100,0.183,209,7456,2797992,49
25,1000,0.282,223,11271,4336825,45
26,10,0.14,237,4437,2025863,48
26,100,0.263,234,8837,3900524,51
26,1000,0.385,233,13185,5726551,40
27,10,0.183,265,5117,2641685,3
27,100,0.359,283,10467,5287028,9
27,1000,0.552,268,16053,8185673,53
28,10,0.263,321,6200,3672318,52
28,100,0.502,331,12243,7195178,51
28,1000,0.785,320,19214,11307497,56
29,10,0.359,358,7289,5043942,53
29,100,0.704,371,14714,10009438,57
29,1000,1.075,354,22676,15347689,52
30,10,0.518,429,8784,7013569,49
30,100,1.1,430,17817,14084564,41
30,1000,2.137,417,27007,21311366,48
31,10,0.931,489,10252,9385047,58
31,100,1.906,488,20848,18911031,54
31,1000,2.956,518,31800,29399468,14
32,10,1.029,589,12409,13341916,63
32,100,1.99,566,24647,26002568,58
32,1000,3.084,568,37943,40289381,61
33,10,1.465,680,14659,18524226,51
33,100,2.89,669,29793,36808577,56
33,1000,4.245,661,44405,54299759,3
34,10,1.896,716,16767,23448736,66
34,100,3.935,716,34511,48714416,67
34,1000,5.975,780,52467,74129843,45
35,10,2.779,816,20361,33843770,48
35,100,5.585,877,41585,68382311,70
35,1000,8.326,891,62746,102436104,70
36,10,3.769,999,23428,44934374,4
36,100,7.811,965,49067,94037885,68
36,1000,11.75,1013,74665,141462516,71
37,10,5.346,1146,28144,62905284,6
37,100,10.886,1179,57715,128707102,0
37,1000,16.2,1167,87545,190994882,14
38,10,7.529,1328,33194,86068681,8
38,100,15.244,1316,68659,175006970,74
38,1000,23.037,1305,104226,265493562,66
39,10,10.443,1546,39469,118283402,78
39,100,21.352,1472,81930,242150648,78
39,1000,32.039,1431,123812,363421186,73
40,10,14.724,1757,46840,162893471,77
40,100,29.454,1729,95905,327641197,70
40,1000,44.981,1702,146562,500715228,75
41,10,20.803,1974,56000,226615964,79
41,100,42.597,2053,115606,464590553,4
41,1000,62.964,2066,173211,687389076,1
42,10,28.785,2329,65763,307773201,75
42,100,59.89,2361,135237,625464774,11
42,1000,92.795,2404,205724,945693080,83
43,10,40.258,2728,76984,416205433,76
43,100,81.904,2744,159426,854157397,83
43,1000,126.084,2642,242476,1290402718,83
44,10,57.619,3113,91016,571289355,88
44,100,114.926,3064,188262,1165945210,86
44,1000,179.01,3114,287556,1777822301,76
45,10,79.231,3561,107289,780577355,85
45,100,165.218,3526,223522,1614855251,45
45,1000,252.608,3565,340380,2446065247,15
46,10,116.397,4139,127390,1082080299,8
46,100,238.901,4156,263435,2196906178,86
46,1000,366.88,4220,402021,3353489639,3
47,10,160.337,4934,148790,1453039795,90
47,100,335.623,4691,314348,3058309012,82
47,1000,497.46,4893,477124,4608411986,49
48,10,233.069,5586,177425,2029130272,94
48,100,472.546,5538,368016,4138709603,87
48,1000,717.511,5495,560712,6282745917,12
49,10,324.835,6498,208836,2761100249,94
49,100,669.682,6436,437913,5722779542,95
49,1000,998.369,6423,663077,8613465960,31
50,10,504.459,7555,244414,3735912979,98
50,100,1035.512,7436,514824,7790839363,90
50,1000,1540.727,7502,789227,11937260092,94
20,10,0.024,112,1488,277680,38
20,100,0.036,110,3121,584809,40
20,1000,0.053,112,4717,882510,36
21,10,0.028,126,1941,440053,41
21,100,0.049,137,3697,810438,41
21,1000,0.075,131,5676,1239437,39
22,10,0.034,131,2128,525016,9
22,100,0.07,151,4407,1105836,39
22,1000,0.104,151,6629,1672005,37
23,10,0.055,187,2782,835277,46
23,100,0.095,178,5231,1493212,42
23,1000,0.138,171,7703,2218446,3
24,10,0.07,177,3022,1044690,0
24,100,0.134,186,6136,2036183,37
24,1000,0.195,195,9156,2995825,46
25,10,0.102,222,3821,1503451,46
25,100,0.181,207,7283,2747986,9
25,1000,0.273,203,11053,4202288,45
26,10,0.147,238,4625,2124224,46
26,100,0.269,232,9047,3977293,52
26,1000,0.403,255,13350,5989774,3
27,10,0.188,255,5212,2662838,50
27,100,0.367,299,10559,5389017,53
27,1000,0.549,277,15989,8122359,52
28,10,0.261,309,6278,3700924,54
28,100,0.529,318,12734,7604437,51
28,1000,0.768,350,18800,11073811,53
29,10,0.362,380,7367,5066426,52
29,100,0.712,336,14960,10161093,54
29,1000,1.064,377,22351,15164109,56
30,10,0.501,406,8576,6804948,56
30,100,1.014,441,17532,13903031,52
30,1000,1.548,448,26847,21325734,41
31,10,0.732,489,10632,9809353,57
31,100,1.956,499,20895,19121782,57
31,1000,2.913,489,31365,28658038,6
32,10,1.026,549,12326,13309417,57
32,100,2.05,603,24889,26724140,50
32,1000,3.059,561,37750,40086488,59
33,10,1.409,633,14555,17835543,65
33,100,2.757,606,29145,35212117,59
33,1000,4.35,667,45303,55716945,30
34,10,2.021,735,17343,24964432,64
34,100,4.075,764,35286,50471796,2
34,1000,6.07,764,53241,75500923,66
35,10,2.784,856,20499,34091371,66
35,100,5.487,868,41060,67376193,16
35,1000,8.428,868,62736,103234753,5
36,10,3.874,1008,23834,46510352,58
36,100,7.847,1021,49301,94639369,14
36,1000,11.652,1017,74093,140224057,72
37,10,5.48,1181,28506,64663352,5
37,100,10.674,1161,57373,125890159,71
37,1000,16.16,1148,87498,191169894,72
38,10,7.525,1321,33220,85491784,13
38,100,15.479,1292,69371,177760527,72
38,1000,23.347,1274,104909,268023312,73
39,10,10.222,1496,38888,114757501,76
39,100,21.211,1499,81186,240490387,74
39,1000,31.972,1524,122931,361903823,16
40,10,14.811,1753,47281,164701795,78
40,100,29.47,1772,95566,327806117,70
40,1000,44.807,1754,146056,499186604,10
41,10,19.957,2037,54537,218171036,79
41,100,41.367,1928,114158,452751759,77
41,1000,62.824,2031,173204,687734705,1
42,10,28.311,2310,65090,302717188,77
42,100,60.837,2296,135223,625378200,1
42,1000,91.609,2356,204552,940111031,13
43,10,40.503,2699,76618,414182800,10
43,100,80.805,2630,158933,846623838,81
43,1000,125.5,2672,242678,1296741591,15
44,10,58.63,3161,91654,582637671,12
44,100,116.432,3125,189929,1178890674,51
44,1000,178.442,3115,287126,1779631077,3
45,10,79.72,3662,107532,787095674,23
45,100,166.239,3665,224818,1628129258,76
45,1000,252.682,3530,338838,2426660659,80
46,10,115.038,4184,126793,1071990748,40
46,100,236.95,4149,264713,2213660139,23
46,1000,357.23,4084,400474,3320564209,88
47,10,161.084,4845,148488,1461110548,0
47,100,335.081,4814,313742,3051399939,82
47,1000,499.916,4764,477029,4610394191,85
48,10,223.191,5646,175363,2000494981,1
48,100,460.661,5803,368598,4159031625,92
48,1000,695.66,5576,562530,6306893960,1
49,10,321.476,6499,207621,2747217999,6
49,100,658.922,6417,435579,5690420314,3
49,1000,995.446,6558,662324,8596524033,97
50,10,517.075,7566,244244,3744989097,12
50,100,1067.122,7539,514714,7828033492,1
50,1000,1567.015,7422,785339,11844128756,96
20,10,0.023,103,1513,279707,15
20,100,0.036,107,3138,594698,37
20,1000,0.05,106,4520,832058,6
21,10,0.025,118,1855,395198,40
21,100,0.049,127,3698,799921,41
21,1000,0.074,148,5647,1229522,26
22,10,0.04,144,2333,610794,40
22,100,0.069,159,4291,1098404,2
22,1000,0.102,151,6528,1626757,6
23,10,0.049,164,2599,756288,41
23,100,0.093,163,5055,1473447,1
23,1000,0.138,160,7866,2217073,45
24,10,0.075,195,3237,1110348,41
24,100,0.134,198,6204,2043299,48
24,1000,0.198,182,9288,3069334,5
25,10,0.097,222,3717,1446783,48
25,100,0.189,210,7485,2871004,47
25,1000,0.282,221,11308,4342048,50
26,10,0.136,247,4462,1975741,45
26,100,0.273,251,9025,4020660,48
26,1000,0.405,253,13467,6027344,4
27,10,0.185,273,5251,2682500,53
27,100,0.376,306,10669,5506816,12
27,1000,0.538,290,15635,7947462,52
28,10,0.257,328,6070,3616070,3
28,100,0.515,312,12483,7392967,5
28,1000,0.782,310,19071,11263922,48
29,10,0.351,362,7198,4908060,57
29,100,0.734,366,15120,10431677,56
29,1000,1.069,379,22340,15253143,4
30,10,0.517,466,8690,6981619,59
30,100,1.028,423,17894,14090311,58
30,1000,1.515,402,26680,20860960,59
31,10,0.744,521,10429,9969094,19
31,100,1.46,511,21300,19762013,54
31,1000,2.201,498,32586,29888131,61
32,10,0.975,550,11842,12639880,2
32,100,2.046,582,25104,26756889,62
32,1000,2.93,541,36968,38387367,60
33,10,1.388,635,14406,17684342,65
33,100,2.863,669,29909,36778955,65
33,1000,4.161,626,43981,53338869,3
34,10,2.064,785,17539,25556163,59
34,100,3.964,752,34495,48801302,2
34,1000,5.956,731,52658,74035616,67
35,10,2.747,817,20404,33561684,59
35,100,5.448,848,41248,67115963,62
35,1000,8.435,918,63375,104211209,70
36,10,3.87,976,23826,46312822,3
36,100,7.892,1007,49661,94961847,69
36,1000,11.689,1016,74422,140628266,65
37,10,5.47,1175,28630,64382693,74
37,100,10.624,1124,57439,125858225,3
37,1000,16.341,1160,88180,193524723,60
38,10,7.681,1379,33768,87569112,64
38,100,15.437,1345,69197,177593905,52
38,1000,23.052,1338,104386,265409172,71
39,10,10.487,1534,39749,118887003,61
39,100,21.399,1492,81780,243374736,22
39,1000,31.64,1513,122511,360095275,23
40,10,14.666,1777,46843,163000109,14
40,100,29.637,1725,96641,330213942,80
40,1000,45.047,1825,146039,501587900,1
41,10,20.192,2001,54850,220507158,80
41,100,41.191,1951,113540,450626677,81
41,1000,61.873,2061,172075,677314153,64
42,10,28.493,2337,65154,304782493,82
42,100,61.392,2359,135132,623821694,75
42,1000,91.71,2439,205479,945415542,61
43,10,40.969,2729,77291,419252497,13
43,100,80.909,2685,159105,850009691,83
43,1000,127.787,2724,241318,1287248945,85
44,10,57.882,3110,91314,570629652,85
44,100,118.156,3075,190311,1185114007,66
44,1000,179.039,3140,287035,1779906053,27
45,10,79.4,3648,106846,775575109,87
45,100,163.722,3531,221565,1591797582,4
45,1000,252.832,3605,339807,2437476652,89
46,10,114.72,4090,125959,1063963961,90
46,100,239.024,4152,262933,2192250608,25
46,1000,365.12,4239,403509,3365716263,89
47,10,162.52,4737,148990,1456230478,73
47,100,333.762,4807,312315,3025735015,89
47,1000,500.005,4813,474503,4572962748,2
48,10,223.511,5603,175970,2005488157,26
48,100,459.54,5559,368454,4145771776,16
48,1000,705.098,5552,561972,6301184702,9
49,10,326.484,6383,208152,2755465070,91
49,100,670.443,6455,435050,5679319521,94
49,1000,1023.058,6541,664939,8657928812,91
50,10,516.027,7534,244543,3721841520,99
50,100,1078.645,7551,518804,7886386369,76
50,1000,1559.6,7526,783680,11820212377,33
20,10,0.027,108,1457,279208,2
20,100,0.035,104,3127,579346,36
20,1000,0.05,106,4476,822983,38
21,10,0.024,131,1717,386656,1
21,100,0.049,113,3688,801246,9
21,1000,0.072,131,5564,1203203,41
22,10,0.035,130,2220,547008,43
22,100,0.068,133,4377,1073073,43
22,1000,0.097,136,6367,1561052,43
23,10,0.05,169,2641,767371,44
23,100,0.091,162,5076,1445741,45
23,1000,0.141,163,7820,2260195,12
24,10,0.07,184,3039,1048636,1
24,100,0.125,193,5930,1899238,48
24,1000,0.204,188,9521,3158506,47
25,10,0.091,209,3651,1355961,50
25,100,0.184,209,7433,2808361,42
25,1000,0.273,215,11217,4206108,50
26,10,0.144,259,4557,2077510,52
26,100,0.258,251,8754,3800340,51
26,1000,0.391,242,13298,5835205,4
27,10,0.194,295,5235,2787828,6
27,100,0.364,289,10404,5368005,9
27,1000,0.533,254,15552,7904776,0
28,10,0.273,315,6392,3869388,53
28,100,0.517,334,12549,7424699,55
28,1000,0.803,330,19241,11477787,47
29,10,0.369,368,7462,5192751,56
29,100,0.727,378,15034,10339233,58
29,1000,1.084,375,22564,15425874,54
30,10,0.547,469,8987,7417921,57
30,100,1.016,402,17730,13968501,56
30,1000,1.528,417,26680,21088349,58
31,10,1.013,515,10577,9940450,62
31,100,1.957,503,21147,19346153,61
31,1000,2.933,510,31809,29231714,7
32,10,1.033,568,12340,13399005,27
32,100,1.988,579,24523,25883906,64
32,1000,3.016,561,37818,39574854,50
33,10,1.415,663,14515,17924758,66
33,100,2.888,632,29883,36880753,63
33,1000,4.135,648,43840,52990668,57
34,10,1.996,706,17153,24602538,65
34,100,4.015,721,35068,49877980,5
34,1000,6.135,757,53442,76234829,68
35,10,2.762,821,20320,33845917,0
35,100,7.37,871,41557,67988996,69
35,1000,10.918,869,61691,100164849,61
36,10,3.918,996,24036,46991203,6
36,100,7.816,1036,49270,93906498,71
36,1000,11.538,967,73891,138879902,71
37,10,5.445,1169,28694,64238891,70
37,100,10.757,1132,57512,127362026,1
37,1000,16.481,1196,88365,195404832,8
38,10,7.892,1381,34306,90488472,71
38,100,15.217,1342,68482,174909978,4
38,1000,22.949,1360,104278,264533037,59
39,10,10.552,1530,39730,119641467,16
39,100,21.055,1555,81127,239280714,75
39,1000,32.331,1553,124278,367881003,72
40,10,14.689,1746,46761,163599632,75
40,100,29.488,1728,96270,329333350,75
40,1000,44.849,1782,146189,500670063,8
41,10,20.313,1976,54897,221933494,5
41,100,41.845,2023,114816,457582788,79
41,1000,62.975,2082,173733,689177817,77
42,10,28.914,2291,64327,298988192,17
42,100,60.33,2404,135225,626982772,72
42,1000,90.983,2266,205333,943291471,23
43,10,39.787,2679,76497,413098606,76
43,100,83.827,2691,159835,858729049,5
43,1000,128.753,2653,244011,1305481889,86
44,10,57.158,3110,90992,570066068,60
44,100,117.967,3164,187550,1160993364,86
44,1000,176.946,3065,287114,1777119413,2
45,10,81.292,3643,107483,784633334,89
45,100,167.463,3518,225026,1622736082,89
45,1000,249.959,3603,338336,2419129026,77
46,10,114.548,4109,126104,1063032197,78
46,100,237.846,4043,263779,2203579344,6
46,1000,355.305,4177,400352,3324996496,2
47,10,171.789,4850,148384,1458415052,3
47,100,358.776,4925,312784,3038478881,82
47,1000,535.739,4913,477812,4631241093,86
48,10,220.452,5618,175695,1995695387,93
48,100,464.64,5679,370197,4182202386,89
48,1000,694.626,5614,561451,6294112606,96
49,10,320.843,6401,207763,2738602857,89
49,100,671.206,6554,436558,5712823129,11
49,1000,1010.691,6428,662064,8592960469,57
50,10,544.574,7588,245996,3765049824,100
50,100,1115.252,7404,515651,7823570381,0
50,1000,1600.991,7474,785977,11875540201,26
20,10,0.021,104,1609,308618,28
20,100,0.035,111,3022,570770,38
20,1000,0.051,107,4612,847473,39
21,10,0.026,127,1841,398927,42
21,100,0.049,133,3659,804271,3
21,1000,0.07,124,5539,1187908,40
22,10,0.038,150,2193,567338,2
22,100,0.07,153,4399,1111305,44
22,1000,0.101,135,6556,1623259,41
23,10,0.049,148,2607,742772,46
23,100,0.097,168,5243,1540251,2
23,1000,0.143,170,7761,2272071,0
24,10,0.078,200,3366,1160215,47
24,100,0.135,195,6158,2057480,3
24,1000,0.202,196,9364,3091704,46
25,10,0.104,226,3885,1531419,48
25,100,0.179,201,6900,2588791,0
25,1000,0.275,224,11116,4232988,50
26,10,0.136,254,4373,1902297,49
26,100,0.268,251,8970,3932487,50
26,1000,0.388,241,13231,5759641,46
27,10,0.177,254,5100,2554198,49
27,100,0.367,268,10555,5370135,46
27,1000,0.526,273,15561,7759611,53
28,10,0.273,313,6388,3856519,52
28,100,0.536,319,12740,7635704,56
28,1000,0.763,326,18453,10743731,3
29,10,0.378,349,7284,5062544,2
29,100,0.725,366,14844,10259912,0
29,1000,1.071,356,22275,15249869,54
30,10,0.516,457,8726,6954325,54
30,100,0.994,444,17390,13581992,57
30,1000,2.101,427,26665,20821822,59
